"Country","Virus Name","Submitted"
"Panama","hCoV-19/Panama/GMI-PAM68542/2021","2022-04-02"
"Argentina","hCoV-19/Argentina/INEI119728/2021","2022-03-30"
"Chile","hCoV-19/Chile/RM-UW21071349152/2021","2022-03-28"
"Peru","hCoV-19/Peru/LMA-UW21070382842/2021","2022-03-28"
"Spain","hCoV-19/Spain/VC-FISABIO-100012/2021","2022-03-17"
"Venezuela","hCoV-19/Venezuela/Dtt4698/2021","2022-03-06"
"Colombia","hCoV-19/Colombia/DC-CABANA-COL-UdeA-UCR-INCIENSA-ITV-UBA-UGA-IMSS-UPC-CVU4877/2021","2022-02-18"
"USA","hCoV-19/USA/TN-ASC-210645431/2021","2022-02-11"
"Canada","hCoV-19/Canada/QC-L00413208001/2021","2022-02-04"
"Nicaragua","hCoV-19/Nicaragua/MAN-6677_05/2021","2022-01-27"
"Saint Kitts and Nevis","hCoV-19/Saint Kitts and Nevis/80440/2021","2022-01-21"
"Bolivia","hCoV-19/Bolivia/SAN-CABANA-PE-UPCH-2236/2021","2022-01-18"
"Bosnia and Herzegovina","hCoV-19/Bosnia and Herzegovina/KCUS170763/2021","2022-01-07"
"France","hCoV-19/France/OCC-CHU-TLS-211251313701/2021","2021-12-23"
"Mexico","hCoV-19/Mexico/SIN-CABANA-MX-UGA-IMSS_ITV_UBA_UCR_UdA_UPC-3521/2021","2021-12-18"
"Costa Rica","hCoV-19/Costa Rica/CABANA-CR-UCR-INCIENSA-ITV-UBA-Uda-UGA-IMSS-UPC-1994-685909/2021","2021-12-16"
"Anguilla","hCoV-19/Anguilla/105189/2021","2021-12-07"
"Italy","hCoV-19/Italy/LOM-Pavia-10924/2021","2021-12-03"
"Brazil","hCoV-19/Brazil/RS-FIOCRUZ-53150/2021","2021-12-01"
"El Salvador","hCoV-19/El Salvador/02-93/2021","2021-11-24"
"Puerto Rico","hCoV-19/Puerto Rico/PR-UPRRP-4144/2021","2021-11-23"
"Ecuador","hCoV-19/Ecuador/NIC-INSPI-100937/2021","2021-11-19"
"Dominican Republic","hCoV-19/Dominican Republic/3002833686_697509/2021","2021-11-17"
"Israel","hCoV-19/Israel/SMC-7004097/2021","2021-11-10"
"Czech Republic","hCoV-19/Czech Republic/IMG15N_U35444/21","2021-10-22"
"Belgium","hCoV-19/Belgium/rega-12500/2021","2021-10-21"
"Germany","hCoV-19/Germany/BY-MVP-000007381/2021","2021-10-11"
"Sint Maarten","hCoV-19/Sint Maarten/SX-RIVM-58761/2021","2021-09-27"
"Switzerland","hCoV-19/Switzerland/SO-ETHZ-33586535/2021","2021-09-24"
"Japan","hCoV-19/Japan/IC-1980/2021","2021-09-21"
"Denmark","hCoV-19/Denmark/DCGC-124091/2021","2021-09-17"
"Guatemala","hCoV-19/Guatemala/ASI4298/2021","2021-09-09"
"South Africa","hCoV-19/South Africa/NICD-N13574/2021","2021-09-08"
"Mayotte","hCoV-19/Mayotte/IPP22382/2021","2021-09-06"
"Sweden","hCoV-19/Sweden/SUS0003669/2021","2021-08-22"
"Ireland","hCoV-19/Ireland/WW-NVRL-S21IRL00118693/2021","2021-08-06"
"Netherlands","hCoV-19/Netherlands/FL-RIVM-45853/2021","2021-07-30"
"Norway","hCoV-19/Norway/15394/2021","2021-07-29"
"United Kingdom","hCoV-19/Northern Ireland/PHEC-N303N77E/2021","2021-07-26"
"Poland","hCoV-19/Poland/0960WSN2021_wsseol/2021","2021-07-15"
"Portugal","hCoV-19/Portugal/PT9725/2021","2021-07-03"
"Aruba","hCoV-19/Aruba/AW-RIVM-40498/2021","2021-06-24"
"Uruguay","hCoV-19/Uruguay/UY-NYULH2104/2021","2021-06-05"
"Australia","hCoV-19/Australia/NSW4431/2021","2021-04-07"
