"Country","Virus Name","Submitted"
"Nicaragua","hCoV-19/Nicaragua/MAN-76284/2021","2022-01-27"
"Antigua and Barbuda","hCoV-19/Antigua and Barbuda/74111/2021","2022-01-21"
"Mozambique","hCoV-19/Mozambique/CERI-KRISP-K027176/2021","2022-01-18"
"China","hCoV-19/Beijing/078/2021","2022-01-11"
"Senegal","hCoV-19/Senegal/6997497/2021","2022-01-10"
"Madagascar","hCoV-19/Madagascar/LA2M-111998/2021","2022-01-10"
"Malaysia","hCoV-19/Malaysia/3131616/2021","2021-12-31"
"Ghana","hCoV-19/Ghana/NMIMR-NCOV-21-41818/2021","2021-12-25"
"Czech Republic","hCoV-19/Czech Republic/IMG30S_6295/21","2021-12-20"
"Saudi Arabia","hCoV-19/Saudi Arabia/KFSHRC_0108N/2021","2021-12-20"
"Costa Rica","hCoV-19/Costa Rica/CABANA-CR-UCR-INCIENSA-ITV-UBA-Uda-UGA-IMSS-UPC-2068-659585/2021","2021-12-16"
"India","hCoV-19/India/KL-GENESCOV02820/2021","2021-12-07"
"Sweden","hCoV-19/Sweden/01_SE100_21CS100267/2021","2021-12-06"
"Benin","hCoV-19/Benin/NMIMR-356024/2021","2021-12-04"
"Botswana","hCoV-19/Botswana/R39B57_BHP_811110/2021","2021-11-24"
"Iran","hCoV-19/Iran/GRC-S212-Zahedan/2021","2021-11-23"
"Netherlands","hCoV-19/Netherlands/NH-RIVM-68128/2021","2021-11-12"
"Ethiopia","hCoV-19/Ethiopia/11795/2021","2021-11-10"
"United Arab Emirates","hCoV-19/env/United Arab Emirates/ADAFSA-04/2021","2021-11-10"
"Niger","hCoV-19/Niger/OIMM17/21","2021-11-09"
"Taiwan","hCoV-19/Taiwan/1013/2021","2021-11-02"
"Switzerland","hCoV-19/Switzerland/SG-Risch-2142500708/2021","2021-11-02"
"Brazil","hCoV-19/Brazil/SP-reBUT_772783/2021","2021-11-01"
"Oman","hCoV-19/Oman/52110179WG/2021","2021-10-28"
"Belgium","hCoV-19/Belgium/rega-12919/2021","2021-10-22"
"Japan","hCoV-19/Japan/TY27-328-P0/2021","2021-10-21"
"Seychelles","hCoV-19/Seychelles/SS1005/2021","2021-10-06"
"Rwanda","hCoV-19/Rwanda/CV2231/2021","2021-10-04"
"Sudan","hCoV-19/Sudan/N6732/2021","2021-10-02"
"Angola","hCoV-19/Angola/CERI-KRISP-K024617/2021","2021-09-30"
"Equatorial Guinea","hCoV-19/Equatorial Guinea/68358/2021","2021-09-29"
"Liberia","hCoV-19/Liberia/LIB-0170/2021","2021-09-16"
"Nigeria","hCoV-19/Nigeria/LSB_COV2-07-21-CA-1015/2021","2021-09-15"
"Israel","hCoV-19/Israel/CVL-2557-vIIBR /2021","2021-09-14"
"Finland","hCoV-19/Finland/V9965/2021","2021-09-11"
"Jordan","hCoV-19/Jordan/Biolab0163/2021","2021-09-09"
"Indonesia","hCoV-19/Indonesia/JI-ITD-42835Nv/2021","2021-09-09"
"Mayotte","hCoV-19/Mayotte/IPP22375/2021","2021-09-06"
"Iceland","hCoV-19/Iceland/11259/2021","2021-09-03"
"Slovakia","hCoV-19/Slovakia/12955/2021","2021-09-03"
"Djibouti","hCoV-19/Djibouti/NAMRU3_MM/2021","2021-09-03"
"Somalia","hCoV-19/Somalia/NAMRU3_Mog_42/2021","2021-09-03"
"Togo","hCoV-19/Togo/NMIMR-21-TGS-114/2021","2021-09-03"
"Turkey","hCoV-19/Turkey/HSGM-C78/2021","2021-09-02"
"Zimbabwe","hCoV-19/Zimbabwe/CERI-KRISP-K021539/2021","2021-08-27"
"Cayman Islands","hCoV-19/Cayman Islands/21182/2021","2021-08-24"
"Greece","hCoV-19/Greece/26890/2021","2021-08-23"
"Guam","hCoV-19/Guam/GU-CDC-2-4611169/2021","2021-08-12"
"Luxembourg","hCoV-19/Luxembourg/LNS5204848/2021","2021-08-11"
"Sri Lanka","hCoV-19/Sri Lanka/aicbu715/2021","2021-08-08"
"Guatemala","hCoV-19/Guatemala/811/2021","2021-08-08"
"Portugal","hCoV-19/Portugal/PT12971/2021","2021-08-03"
"Poland","hCoV-19/Poland/PL_P3610/2021","2021-08-02"
"Morocco","hCoV-19/Morocco/ION_CODE_3/2021","2021-07-31"
"Uganda","hCoV-19/Uganda/UG650/2021","2021-07-30"
"Bulgaria","hCoV-19/Bulgaria/21BG-EU_003794_Pl32/2021","2021-07-26"
"Singapore","hCoV-19/Singapore/1839/2021","2021-07-16"
"New Zealand","hCoV-19/New Zealand/21MV0534/2021","2021-07-15"
"South Sudan","hCoV-19/South Sudan/UG572/2021","2021-07-13"
"Burundi","hCoV-19/Burundi/UG558/2021","2021-07-13"
"Chile","hCoV-19/Chile/RM-116322/2021","2021-07-10"
"Denmark","hCoV-19/Denmark/DCGC-124172/2021","2021-07-09"
"Qatar","hCoV-19/Qatar/QA.QU_19.4.C7/2021","2021-07-08"
"Georgia","hCoV-19/Georgia/Tb-SNGS124/2021","2021-07-08"
"French Guiana","hCoV-19/French Guiana/IPG2021564/2021","2021-07-07"
"Kuwait","hCoV-19/Kuwait/KCCC-91047-3335838/2021","2021-07-07"
"Mauritius","hCoV-19/Mauritius/248302/2021","2021-07-06"
"Bahrain","hCoV-19/Bahrain/342286680/2021","2021-07-04"
"Malta","hCoV-19/Malta/MDxMDH480/2021","2021-06-29"
"Guadeloupe","hCoV-19/Guadeloupe/IPP14148/2021","2021-06-28"
"Croatia","hCoV-19/Croatia/6403/2021","2021-06-26"
"Estonia","hCoV-19/Estonia/Cov11228/2021","2021-06-22"
"Romania","hCoV-19/Romania/B-15014/2021","2021-06-17"
"Mexico","hCoV-19/Mexico/CAM-InDRE_FB16257_S2727/2021","2021-06-14"
"Suriname","hCoV-19/Suriname/SR-156/2021","2021-06-12"
"Central African Republic","hCoV-19/Central African Republic/24253/2021","2021-05-26"
"Martinique","hCoV-19/Martinique/IPP11614/2021","2021-05-20"
"Argentina","hCoV-19/Argentina/INEI104258/2021","2021-05-18"
"Guinea-Bissau","hCoV-19/Guinea Bissau/JPLNSP0025/2021","2021-05-17"
"Lithuania","hCoV-19/Lithuania/VUC36671/2021","2021-05-14"
"Slovenia","hCoV-19/Slovenia/08_069284-MB/2021","2021-04-30"
"Aruba","hCoV-19/Aruba/AW-RIVM-26456/2021","2021-04-23"
"North Macedonia","hCoV-19/North Macedonia/15900/2021","2021-04-21"
"Puerto Rico","hCoV-19/Puerto Rico/PR-CDC-S261/2021","2021-04-16"
"Sint Maarten","hCoV-19/Sint Maarten/SX-RIVM-23208/2021","2021-04-15"
"Iraq","hCoV-19/Iraq/Samawa-52/2021","2021-04-09"
"Panama","hCoV-19/Panama/GMI-PA659038/2021","2021-04-08"
"Comoros","hCoV-19/Comoros/C011/2021","2021-03-23"
"Lesotho","hCoV-19/Lesotho/N3427/2021","2021-03-18"
"Monaco","hCoV-19/Monaco/IPP04454/2021","2021-03-11"
"Brunei","hCoV-19/Brunei/3/2021","2021-03-03"
