"Country","Virus Name","Submitted"
"South Africa","hCoV-19/South Africa/NCV984/2021","2022-04-01"
"Germany","hCoV-19/Germany/NW-RKI-I-673040/2022","2022-04-01"
"Spain","hCoV-19/Spain/PV-HUB-51198647/2021","2022-03-31"
"France","hCoV-19/France/CVL-ChuTo-9800036347/2021","2022-03-30"
"Gabon","hCoV-19/Gabon/W0741/2021","2022-03-29"
"Bangladesh","hCoV-19/Bangladesh/BCSIR-JU-33/2021","2022-03-29"
"Canada","hCoV-19/Canada/BC-BCCDC-371510/2021","2022-03-25"
"Philippines","hCoV-19/Philippines/PH-RITM-302/2021","2022-03-23"
"Norway","hCoV-19/Norway/11327/2021","2022-03-23"
"Australia","hCoV-19/Australia/NSW-SAVID-4414/2021","2022-03-23"
"Austria","hCoV-19/Austria/CeMM4728/2021","2022-03-21"
"Russia","hCoV-19/Russia/KR-494/2021","2022-03-21"
"Malawi","hCoV-19/Malawi/MLW-00523/2021","2022-03-21"
"USA","hCoV-19/USA/CA-CDPH-6000001286/2021","2022-03-21"
"Namibia","hCoV-19/Namibia/MDL032513/2021","2022-03-18"
"Zambia","hCoV-19/Zambia/MG17_12040/2021","2022-03-14"
"Pakistan","hCoV-19/Pakistan/AKU-FEB-RUN-Illumina-S17/2021","2022-03-07"
"Kenya","hCoV-19/Kenya/KDH-376/2021","2022-02-28"
"Ireland","hCoV-19/Ireland/D-CEPHR-AIIDM0318/2021","2022-02-23"
"Tunisia","hCoV-19/Tunisia/S-0427/2021","2022-02-22"
"South Korea","hCoV-19/South Korea/NMC-08/2021","2022-02-22"
"Cote d'Ivoire","hCoV-19/Cote d'Ivoire/IPCI-cv546/2021","2022-02-21"
"Thailand","hCoV-19/Thailand/CU-A21387-NT/2021","2022-02-18"
"Cameroon","hCoV-19/Cameroon/CAM-536/2021","2022-02-17"
"Democratic Republic of the Congo","hCoV-19/DRC/ILRI_COVM02152/2021","2022-02-17"
"United Kingdom","hCoV-19/England/LOND-YYBDAET/2021","2022-02-13"
"Italy","hCoV-19/Italy/TAA-7830036668/2021","2022-02-04"
"Latvia","hCoV-19/Latvia/5870/2021","2022-02-03"
"Eswatini","hCoV-19/Eswatini/N10454/2021","2022-02-03"
"Reunion","hCoV-19/Reunion/PIMIT_15986/2021","2022-02-01"
"Kyrgyzstan","hCoV-19/Kyrgyzstan/Kyrg12181-070721/2021","2022-01-31"
"Hong Kong","hCoV-19/Hong Kong/4527-P2/2021","2022-01-27"
