"Country","Virus Name","Submitted"
"USA","hCoV-19/USA/NC-CORVASEQ-CLT-006656/2021","2022-04-03"
"Spain","hCoV-19/Spain/CB-HUMV-602200204898/2022","2022-04-02"
"Pakistan","hCoV-19/Pakistan/NIH-B40-S18/2021","2022-04-02"
"Panama","hCoV-19/Panama/GMI-PAM74547/2021","2022-04-02"
"Australia","hCoV-19/Australia/ACT2354/2021","2022-04-02"
"Paraguay","hCoV-19/Paraguay/385073/2021","2022-04-01"
"El Salvador","hCoV-19/El Salvador/111277-GMI/2021","2022-04-01"
"The Bahamas","hCoV-19/Bahamas/17767-GMI/2021","2022-04-01"
"Belize","hCoV-19/Belize/8734389-GMI/2021","2022-04-01"
"Solomon Islands","hCoV-19/Solomon Islands/SOL38337/2022","2022-04-01"
"Democratic Republic of the Congo","hCoV-19/DRC/RDC-574/2022","2022-04-01"
"Germany","hCoV-19/Germany/NW-RKI-I-687697/2022","2022-04-01"
"Slovenia","hCoV-19/Slovenia/17-123053-CE/2021","2022-04-01"
"Moldova","hCoV-19/Moldova/F0012/2022","2022-04-01"
"South Africa","hCoV-19/South Africa/NCV995/2021","2022-04-01"
"Malaysia","hCoV-19/Malaysia/MKAK_COV_22_37424/2022","2022-04-01"
"Jamaica","hCoV-19/Jamaica/JPL1636911-GMI/2021","2022-04-01"
"Brazil","hCoV-19/Brazil/RN-IMT_4_18/2021","2022-04-01"
"Netherlands","hCoV-19/Netherlands/NB-RIVM-93675/2022","2022-04-01"
"Japan","hCoV-19/Japan/NIID-patho-TMEO-117-2/2022","2022-04-01"
"Ireland","hCoV-19/Ireland/TA-NVRL-S22IRL00069800/2022","2022-04-01"
"United Kingdom","hCoV-19/England/PHEP-YYRTDGK/2022","2022-04-01"
"Venezuela","hCoV-19/Venezuela/Bar6328/2021","2022-03-31"
"Guatemala","hCoV-19/Guatemala/4535-GMI/2021","2022-03-31"
"Peru","hCoV-19/Peru/CAL-INS-15815/2022","2022-03-31"
"Canada","hCoV-19/Canada/NS-NML-382164/2022","2022-03-31"
"India","hCoV-19/India/RJ-SMS-ICMR-INSACOG-TS-2365/2022","2022-03-31"
"Italy","hCoV-19/Italy/PUG_UNIBA_APU-BA357/2021","2022-03-31"
"Russia","hCoV-19/Russia/MOW-CRIE-7691964719ch/2021","2022-03-31"
"Vietnam","hCoV-19/Vietnam/BMH-310322-sample88/2022","2022-03-31"
"France","hCoV-19/France/PAC-CHUNICE-2107302236/2021","2022-03-31"
"Ecuador","hCoV-19/Ecuador/USFQ-3281/2021","2022-03-30"
"Turkey","hCoV-19/Turkey/HSGM-GS1161/2022","2022-03-30"
"Belgium","hCoV-19/Belgium/UZA-UA-SYB282/2021","2022-03-30"
"Czech Republic","hCoV-19/Czech Republic/BC_B13_07_02_16/2022","2022-03-30"
"Thailand","hCoV-19/Thailand/CU-A211111-NPS/2021","2022-03-30"
"Kenya","hCoV-19/Kenya/SS6795/2022","2022-03-30"
"Denmark","hCoV-19/Denmark/DCGC-452278/2021","2022-03-30"
"Switzerland","hCoV-19/dog/Switzerland/SH-UZH-P1841_USZ32_T_1/2021","2022-03-30"
"Kuwait","hCoV-19/Kuwait/Jaber2220010163/2022","2022-03-29"
"Bangladesh","hCoV-19/Bangladesh/BCSIR-JU-36/2021","2022-03-29"
"Gabon","hCoV-19/Gabon/KK0181/2021","2022-03-29"
