"Country","Virus Name","Submitted"
"Colombia","hCoV-19/Colombia/NAR-IAVH-VG-17336/2022","2022-03-29"
"Mexico","hCoV-19/Mexico/AGU_ISSEA-Lesp-7876-S25/2022","2022-03-29"
"Jordan","hCoV-19/Jordan/Biolab0642/2022","2022-03-29"
"Chile","hCoV-19/Chile/VS-UV-231/2021","2022-03-28"
"Nigeria","hCoV-19/Nigeria/NCDC-NR-GL-004021/2021","2022-03-28"
"Argentina","hCoV-19/Argentina/UW21112608981/2021","2022-03-28"
"Romania","hCoV-19/Romania/4221IOCO/2021","2022-03-28"
"Georgia","hCoV-19/Georgia/Tb-sNGS4867/2022","2022-03-28"
"Poland","hCoV-19/Poland/MIHE-211229001/2021","2022-03-28"
"Sweden","hCoV-19/Sweden/CVS000118CONU/2021","2022-03-26"
"Hong Kong","hCoV-19/Hong Kong/HKU-220326-130/2022","2022-03-26"
"South Korea","hCoV-19/South Korea/KDCA32920/2022","2022-03-25"
"Bosnia and Herzegovina","hCoV-19/Bosnia and Herzegovina/23/2021","2022-03-25"
"Indonesia","hCoV-19/Indonesia/JI-GS-ITD-54736NT/2022","2022-03-25"
"Nepal","hCoV-19/Nepal/NPHL-S-1316/2021","2022-03-25"
"Taiwan","hCoV-19/Taiwan/NTU110/2021","2022-03-25"
"Papua New Guinea","hCoV-19/Papua New Guinea/PNG6540/2021","2022-03-24"
"New Zealand","hCoV-19/New Zealand/22CV2885/2022","2022-03-24"
"Ukraine","hCoV-19/Crimea/43-CRIE-L191H0821u_7817/2021","2022-03-24"
"Tunisia","hCoV-19/Tunisia/S-1343/2021","2022-03-24"
"Belarus","hCoV-19/Belarus/HM-CRIE-7735754732/2022","2022-03-24"
"Kosovo","hCoV-19/Kosovo/CO-00664-XXK000_9808_NIPH_Jan_2022/2022","2022-03-23"
"Israel","hCoV-19/Israel/SMC-7045058/2022","2022-03-23"
"Slovakia","hCoV-19/Slovakia/BA_22_00015448/2022","2022-03-23"
"Mauritania","hCoV-19/Mauritanie/N042493/2021","2022-03-23"
"Lebanon","hCoV-19/Lebanon/LAU-CVD-350/2021","2022-03-23"
"Haiti","hCoV-19/Haiti/68080032-ICGES/2021","2022-03-22"
"Cabo Verde","hCoV-19/Cabo Verde/SL7563/2021","2022-03-22"
"Comoros","hCoV-19/Comoros/SS5373/2021","2022-03-22"
"Croatia","hCoV-19/Croatia/32036/2022","2022-03-22"
"Norway","hCoV-19/Norway/10348/2022","2022-03-22"
"Ethiopia","hCoV-19/Ethiopia/ILRI_COVM02982/2022","2022-03-22"
"Suriname","hCoV-19/Suriname/SR-964/2022","2022-03-22"
"Austria","hCoV-19/Austria/CeMM20648/2021","2022-03-21"
"Malawi","hCoV-19/Malawi/MLW-00374/2021","2022-03-21"
"Portugal","hCoV-19/Portugal/PT29816/2022","2022-03-21"
"Liechtenstein","hCoV-19/env/Liechtenstein/CeMM20915/2021","2022-03-21"
"Mauritius","hCoV-19/Mauritius/11593/2022","2022-03-20"
"Puerto Rico","hCoV-19/Puerto Rico/PR-083021PRI595/2021","2022-03-19"
"Namibia","hCoV-19/Namibia/MDL035928/2021","2022-03-18"
"Seychelles","hCoV-19/Seychelles/F130537/2022","2022-03-17"
"Northern Mariana Islands","hCoV-19/Northern Mariana Islands/MP-CDC-2-5693660/2021","2022-03-16"
"Greece","hCoV-19/Greece/330898/2022","2022-03-16"
"Martinique","hCoV-19/Martinique/IPP54310/2021","2022-03-15"
"Finland","hCoV-19/Finland/THL-202206738/2022","2022-03-15"
"Luxembourg","hCoV-19/Luxembourg/LNS1263147/2021","2022-03-15"
"Morocco","hCoV-19/env/Morocco/F03/2021","2022-03-15"
"Iran","hCoV-19/Iran/AN0524/2021","2022-03-14"
"Costa Rica","hCoV-19/Costa Rica/INC-1575-711624/2021","2022-03-14"
"Lithuania","hCoV-19/Lithuania/LTU000_LSMUL_KK_75480/2022","2022-03-14"
"Reunion","hCoV-19/Reunion/HCL022028346301/2022","2022-03-14"
"Algeria","hCoV-19/Algeria/100307/2021","2022-03-13"
"Brunei","hCoV-19/Brunei/9222025948/2022","2022-03-12"
"China","hCoV-19/Heilongjiang/IVDC-HEB-522/2021","2022-03-11"
"Mongolia","hCoV-19/Mongolia/10011932/2022","2022-03-10"
"Bulgaria","hCoV-19/Bulgaria/21BG-NC_013554_R21/2021","2022-03-09"
"Central African Republic","hCoV-19/Central African Republic/RCA-035/2022","2022-03-09"
"Guadeloupe","hCoV-19/Guadeloupe/CERBAHC-1293735/2021","2022-03-09"
"Estonia","hCoV-19/Estonia/19199012/2022","2022-03-08"
"Bolivia","hCoV-19/Bolivia/SAN-UPCH-3201/2021","2022-03-07"
"Philippines","hCoV-19/Philippines/UW21090254832/2021","2022-03-06"
"Chad","hCoV-19/Chad/TCH-009/2021","2022-03-06"
"Bonaire","hCoV-19/Bonaire/BQ-RIVM-89807/2021","2022-03-04"
"Serbia","hCoV-19/Serbia/Belgrade-K211674_2211/2021","2022-03-03"
"French Polynesia","hCoV-19/French Polynesia/IPP54262/2021","2022-03-03"
"Saint Martin","hCoV-19/Saint-Martin/IPP54144/2021","2022-03-03"
"New Caledonia","hCoV-19/New Caledonia/0060320/2022","2022-03-03"
"South Sudan","hCoV-19/South Sudan/UG1168/2021","2022-03-01"
"Equatorial Guinea","hCoV-19/Equatorial Guinea/C22633/2021","2022-03-01"
"Ghana","hCoV-19/Ghana/WACCBIP-GS1742/2021","2022-02-28"
"Latvia","hCoV-19/mink/Latvia/5952/2021","2022-02-28"
"Curacao","hCoV-19/Curacao/CW-RIVM-87875/2022","2022-02-25"
"North Macedonia","hCoV-19/North Macedonia/6439/2022","2022-02-25"
"Guinea","hCoV-19/Guinea/IPG-23224/2021","2022-02-24"
"Sao Tome and Principe","hCoV-19/Sao Tome and Principe/08/2021","2022-02-24"
"Montenegro","hCoV-19/Montenegro/1191682202/2022","2022-02-24"
"Nicaragua","hCoV-19/Nicaragua/MAN-126684/2021","2022-02-24"
"Benin","hCoV-19/Benin/507804/2021","2022-02-21"
"Syria","hCoV-19/Syria/Northwest-0102/2022","2022-02-21"
"Andorra","hCoV-19/Andorra/AND-251_220121429201_COV-GC/2021","2022-02-21"
"Cote d'Ivoire","hCoV-19/Cote d'Ivoire/IPCI-cv541/2021","2022-02-21"
"U.S. Virgin Islands","hCoV-19/U.S. Virgin Islands/VI-Yale-14509/2021","2022-02-21"
"Oman","hCoV-19/Oman/52124434/2021","2022-02-20"
"Cambodia","hCoV-19/Cambodia/912794/2022","2022-02-18"
"Palestine","hCoV-19/Palestine/QIBPS-N-2021-93641/2021","2022-02-18"
"Republic of the Congo","hCoV-19/Congo/RC-404/2021","2022-02-17"
"Botswana","hCoV-19/Botswana/R83B04_BHP_00098528/2022","2022-02-17"
"Niger","hCoV-19/Niger/CE623/21","2022-02-17"
"Djibouti","hCoV-19/Djibouti/NAMRU3_G638/2021","2022-02-17"
"Sint Maarten","hCoV-19/Sint Maarten/SX-RIVM-86482/2022","2022-02-17"
"Cameroon","hCoV-19/Cameroon/CAM-197/2021","2022-02-17"
"Qatar","hCoV-19/Qatar/QA.QU.18.35.H8/2022","2022-02-17"
"Burkina Faso","hCoV-19/Burkina Faso/CHUSS_10936/2021","2022-02-17"
"Honduras","hCoV-19/Honduras/789343-ICGES/2021","2022-02-16"
"Trinidad and Tobago","hCoV-19/Trinidad and Tobago/121260/2022","2022-02-16"
"Montserrat","hCoV-19/Montserrat/120969/2021","2022-02-16"
"Rwanda","hCoV-19/Rwanda/NRL-DF32417/2021","2022-02-14"
"Singapore","hCoV-19/Singapore/1516/2022","2022-02-14"
"Malta","hCoV-19/Malta/MDxMDHO157/2022","2022-02-11"
"Dominican Republic","hCoV-19/Dominican Republic/1558922-ICGES/2021","2022-02-11"
"Uganda","hCoV-19/Uganda/Gulu/GUMRL-GU07287/2021","2022-02-10"
"Maldives","hCoV-19/Maldives/MAV125437/2022","2022-02-10"
"Guam","hCoV-19/Guam/GU-CDC-2-5485020/2022","2022-02-08"
"Hungary","hCoV-19/Hungary/mbl_30583/2021","2022-02-07"
"Mayotte","hCoV-19/Mayotte/HCL722000034701/2021","2022-02-07"
"Sri Lanka","hCoV-19/Sri Lanka/aicbu4210/2022","2022-02-05"
"Iraq","hCoV-19/Iraq/CPHL-180122-40/2022","2022-02-04"
"Eswatini","hCoV-19/Eswatini/N17071/2021","2022-02-03"
"Sudan","hCoV-19/Sudan/N16842/2020","2022-02-03"
"Angola","hCoV-19/Angola/CERI-KRISP-K027644/2021","2022-02-02"
"Anguilla","hCoV-19/Anguilla/119143/2022","2022-02-02"
"Dominica","hCoV-19/Dominica/117862/2022","2022-02-02"
"Saint Vincent and the Grenadines","hCoV-19/Saint Vincent and the Grenadines/115234/2022","2022-02-02"
"Kyrgyzstan","hCoV-19/Kyrgyzstan/Kyrg19206-130721/2021","2022-02-01"
"Saint Lucia","hCoV-19/Saint Lucia/92106/2021","2022-01-31"
"Saudi Arabia","hCoV-19/Saudi Arabia/KFSHRC_027S/2021","2022-01-30"
"Albania","hCoV-19/Albania/CO-00602-XXK000_1950_3/2021","2022-01-28"
"Aruba","hCoV-19/Aruba/AW-RIVM-82616/2022","2022-01-27"
"Bermuda","hCoV-19/Bermuda/WR-NYGC-DEC-6117-CUAV416/2021","2022-01-26"
"Egypt","hCoV-19/Egypt/CPHL-EGY21284/2021","2022-01-25"
"Mozambique","hCoV-19/Mozambique/CERI-KRISP-K027529/2021","2022-01-25"
"Gambia","hCoV-19/Gambia/94998/2021","2022-01-25"
"Armenia","hCoV-19/Armenia/IMB11-4/2021","2022-01-24"
"Turks and Caicos Islands","hCoV-19/Turks and Caicos/116609/2021","2022-01-21"
"Grenada","hCoV-19/Grenada/85599/2021","2022-01-21"
"Antigua and Barbuda","hCoV-19/Antigua and Barbuda/87120/2021","2022-01-21"
"British Virgin Islands","hCoV-19/British Virgin Islands/92862/2021","2022-01-21"
"Barbados","hCoV-19/Barbados/85782/2021","2022-01-21"
"Saint Kitts and Nevis","hCoV-19/Saint Kitts and Nevis/85458/2021","2022-01-21"
"Myanmar","hCoV-19/Myanmar/DSMRC-060/2021","2022-01-21"
"Zimbabwe","hCoV-19/Zimbabwe/CERI-KRISP-K027219/2021","2022-01-18"
"French Guiana","hCoV-19/French Guiana/IPG202200048/2021","2022-01-17"
"American Samoa","hCoV-19/American Samoa/AS-CDC-2-5343518/2021","2022-01-13"
"Senegal","hCoV-19/Senegal/25616/2020","2022-01-10"
"Monaco","hCoV-19/France/MC-CERBAHC-1240226/2021","2021-12-27"
"Kazakhstan","hCoV-19/Kazakhstan/KAR-NRL-985/2021","2021-12-27"
"Zambia","hCoV-19/Zambia/ZMB-PM2273/2021","2021-12-23"
"Gibraltar","hCoV-19/Gibraltar/EXP_20122021-1607022-64/2021","2021-12-22"
"Bahrain","hCoV-19/Bahrain/NBHCB_DA1/2021","2021-12-20"
"Sierra Leone","hCoV-19/Sierra Leone/CPHRL_SEQ_21_298/2021","2021-12-14"
"Lesotho","hCoV-19/Lesotho/UHB-MI-SEB-00896/2021","2021-12-07"
"Palau","hCoV-19/Palau/PW-CDC-2-5064293/2021","2021-12-02"
"Saint Barthelemy","hCoV-19/Saint Barthelemy/IPP36163/2021","2021-11-30"
"Cayman Islands","hCoV-19/Cayman Islands/50035/2021","2021-11-21"
"Guyana","hCoV-19/Guyana/GPR0360016/2021","2021-11-17"
"Guinea-Bissau","hCoV-19/Guinea Bissau/JP044/2021","2021-11-03"
"Burundi","hCoV-19/Burundi/UG876/2021","2021-10-07"
"Fiji","hCoV-19/Fiji/FJ711/2021","2021-10-04"
"Timor-Leste","hCoV-19/Timor-Leste/TL1028/2021","2021-10-04"
"Afghanistan","hCoV-19/Afghanistan/2870x0132_23814/2021","2021-09-29"
"Mali","hCoV-19/Mali/MAL0110/2021","2021-09-17"
"Liberia","hCoV-19/Liberia/LIB-0244/2021","2021-09-16"
"Cyprus","hCoV-19/Cyprus/ChVir-LB-210903-8472/2021","2021-09-05"
"United Arab Emirates","hCoV-19/United Arab Emirates/AZ-USAFSAM-S4355/2021","2021-09-04"
"Iceland","hCoV-19/Iceland/11890/2021","2021-09-03"
"Togo","hCoV-19/Togo/NMIMR-21-TGS-455/2021","2021-09-03"
"Uzbekistan","hCoV-19/Uzbekistan/Tashkent-CGB-44/2021","2021-08-25"
"Azerbaijan","hCoV-19/Azerbaijan/Aghayev-07-02/2021","2021-07-14"
