"Country","Virus Name","Submitted"
"Libya","hCoV-19/Libya/MZ054881/2021","2022-01-03"
"Iran","hCoV-19/Iran/GRC-Tt-02-120-Tehran/2021","2022-01-02"
"Nigeria","hCoV-19/Nigeria/MRL-OS-2604/2021","2021-12-30"
"Sri Lanka","hCoV-19/Sri Lanka/ML-MRI-0023/2021","2021-12-26"
"Zambia","hCoV-19/Zambia/ZMB-121235/2021","2021-12-23"
"Denmark","hCoV-19/Denmark/DCGC-273149/2021","2021-12-22"
"Gibraltar","hCoV-19/Gibraltar/EXP_07092021-1116542-71/2020","2021-12-22"
"Venezuela","hCoV-19/Venezuela/Coj5281/2021","2021-12-18"
"Costa Rica","hCoV-19/Costa Rica/CABANA-CR-UCR-INCIENSA-ITV-UBA-Uda-UGA-IMSS-UPC-2062-658971/2021","2021-12-16"
"Madagascar","hCoV-19/Madagascar/IPM-62034/2021","2021-12-16"
"Burkina Faso","hCoV-19/Burkina Faso/CHUSS_7733/2021","2021-12-10"
"Malta","hCoV-19/Malta/MDxMDH586/2021","2021-12-08"
"Cambodia","hCoV-19/Cambodia/886723/2021","2021-12-08"
"Cyprus","hCoV-19/Cyprus/BMVUCY760/2021","2021-12-06"
"Qatar","hCoV-19/Qatar/QA.QU.20.8.E4/2021","2021-12-05"
"Benin","hCoV-19/Benin/NMIMR-UBA66254/2021","2021-12-04"
"Republic of the Congo","hCoV-19/Congo/RC-165/2021","2021-12-03"
"Djibouti","hCoV-19/Djibouti/NAMRU3_E30/2021","2021-12-01"
"Paraguay","hCoV-19/Paraguay/WOR12903A604/2021","2021-12-01"
"El Salvador","hCoV-19/El Salvador/02-36/2021","2021-11-24"
"Guam","hCoV-19/USA/GU-CDC-2-5097709/2021","2021-11-18"
"Dominican Republic","hCoV-19/DOM/202103002_603669/2021","2021-11-18"
"Jordan","hCoV-19/Jordan/MoH-532/2021","2021-11-17"
"Ethiopia","hCoV-19/Ethiopia/7631/2021","2021-11-10"
"Portugal","hCoV-19/Portugal/PT20161/2021","2021-11-09"
"Bulgaria","hCoV-19/Bulgaria/21BG-EU_008199_Pl77/2021","2021-11-09"
"Lebanon","hCoV-19/Lebanon/LEB_R2_57/2021","2021-11-06"
"Finland","hCoV-19/Finland/THL-202111162/2021","2021-11-05"
"Belize","hCoV-19/Belize/CML-175/2021","2021-11-03"
"Ukraine","hCoV-19/Ukraine/Kyiv-26/2021","2021-11-02"
"Mozambique","hCoV-19/Mozambique/COV-2289-A1937/2021","2021-11-01"
"Oman","hCoV-19/Oman/52110256/2021","2021-10-27"
"Bangladesh","hCoV-19/Bangladesh/icddrb-7379/2021","2021-10-26"
"Greece","hCoV-19/Greece/277337/2021","2021-10-18"
"Bosnia and Herzegovina","hCoV-19/Bosnia and Herzegovina/VFS-UNSA-LMGFI109/2021","2021-10-17"
"United Arab Emirates","hCoV-19/United Arab Emirates/BTC-4849/2021","2021-10-15"
"Croatia","hCoV-19/Croatia/9695/2021","2021-10-15"
"Algeria","hCoV-19/Algeria/55577/2021","2021-10-11"
"Suriname","hCoV-19/Suriname/SR-257/2021","2021-10-10"
"Seychelles","hCoV-19/Seychelles/SS2534/2021","2021-10-06"
"Fiji","hCoV-19/Fiji/FJ063/2021","2021-10-04"
"Martinique","hCoV-19/Martinique/MQ-CERBAHC-09728283/2021","2021-10-04"
"Peru","hCoV-19/Peru/PIU-FPP04129/2021","2021-10-04"
"Rwanda","hCoV-19/Rwanda/CV2182/2021","2021-10-04"
"Vanuatu","hCoV-19/Vanuatu/VAN003/2020","2021-10-04"
"Chile","hCoV-19/Chile/BI-144107/2021","2021-10-01"
"Nepal","hCoV-19/Nepal/CDBT-TU-S-212/2021","2021-10-01"
"Angola","hCoV-19/Angola/CERI-KRISP-K024634/2021","2021-09-30"
"Guadeloupe","hCoV-19/Guadeloupe/IPP27428/2021","2021-09-29"
"Afghanistan","hCoV-19/Afghanistan/2870x0275_23903/2021","2021-09-29"
"Kosovo","hCoV-19/Kosovo/CO-00367-XXK000_9466/2021","2021-09-27"
"Sint Maarten","hCoV-19/Sint Maarten/SX-RIVM-59662/2021","2021-09-27"
"Kazakhstan","hCoV-19/Kazakhstan/1794/2021","2021-09-26"
"Vietnam","hCoV-19/Vietnam/NHTD-OUCRU0713/2021","2021-09-25"
"South Sudan","hCoV-19/Kenya/ILRI_COVC23450/2021","2021-09-16"
"Liberia","hCoV-19/Liberia/LIB-0220/2021","2021-09-16"
"U.S. Virgin Islands","hCoV-19/USA/VI-Yale-9569/2021","2021-09-15"
"Estonia","hCoV-19/Estonia/16783180/2021","2021-09-13"
"Guatemala","hCoV-19/Guatemala/3137/2021","2021-09-08"
"Slovakia","hCoV-19/Slovakia/UVZ_PL33_C9_16769/2021","2021-09-07"
"Northern Mariana Islands","hCoV-19/Northern Mariana Islands/MP-CDC-2-4813478/2021","2021-09-05"
"Iceland","hCoV-19/Iceland/11910/2021","2021-09-03"
"Togo","hCoV-19/Togo/NMIMR-21-TGS-149/2021","2021-09-03"
"Somalia","hCoV-19/Somalia/NAMRU3_Mog_45/2021","2021-09-03"
"Moldova","hCoV-19/Moldova/ICGEB_819913_S18/2021","2021-09-02"
"Niger","hCoV-19/Niger/CE4783A/2021","2021-08-31"
"Liechtenstein","hCoV-19/Liechtenstein/FL-Risch-2152300452/2021","2021-08-30"
"Montenegro","hCoV-19/Montenegro/CO-00366_MNE000_2596772102/2021","2021-08-26"
"French Guiana","hCoV-19/French Guiana/IPP20377/2021","2021-08-25"
"North Macedonia","hCoV-19/North Macedonia/42821/2021","2021-08-21"
"Armenia","hCoV-19/Armenia/IMB5-7/2021","2021-08-20"
"Maldives","hCoV-19/Maldives/MAV15143/2021","2021-08-17"
"Andorra","hCoV-19/Andorra/AND-235_2118213844_GC/2021","2021-08-13"
"Malaysia","hCoV-19/Malaysia/MGI_MGI86/2021","2021-08-12"
"Bonaire","hCoV-19/Bonaire/BQ-RIVM-46668/2021","2021-08-07"
"Curacao","hCoV-19/Curacao/CW-RIVM-46584/2021","2021-08-06"
"Bahrain","hCoV-19/Bahrain/921220144/2021","2021-08-05"
"Uzbekistan","hCoV-19/Uzbekistan/415/2021","2021-08-02"
"Aruba","hCoV-19/Aruba/AW-RIVM-46331/2021","2021-07-30"
"Albania","hCoV-19/Albania/un-ChVir25862_20/2021","2021-07-29"
"Chad","hCoV-19/Chad/TCH-14/2021","2021-07-20"
"Singapore","hCoV-19/Singapore/1807/2021","2021-07-19"
"Democratic Republic of the Congo","hCoV-19/DRC/RDC-226/2021","2021-07-16"
"New Zealand","hCoV-19/New Zealand/21MV0575/2021","2021-07-15"
"Grenada","hCoV-19/Grenada/75608/2021","2021-07-15"
"Namibia","hCoV-19/Namibia/MDL012753/2021","2021-07-14"
"Burundi","hCoV-19/Burundi/UG523/2021","2021-07-13"
"Dominica","hCoV-19/Dominica/54050/2021","2021-06-23"
"Honduras","hCoV-19/Honduras/326700/2021","2021-06-22"
"Trinidad and Tobago","hCoV-19/Trinidad and Tobago/66251/2021","2021-06-21"
"Montserrat","hCoV-19/Montserrat/53590/2021","2021-06-20"
"Myanmar","hCoV-19/Myanmar/DSMRC014/2021","2021-06-17"
"Monaco","hCoV-19/Monaco/CERBAHC-HTNG3AFX2-S63/2021","2021-06-16"
"Mayotte","hCoV-19/Mayotte/IPP13559/2021","2021-06-14"
